Q,A,label
"고압가스 충전.제조허가시설에서 장비등 시설의 변경 없이 압력을 210bar에서 150bar로 
변경할 때 변경허가 대상에 포함되는지","「고압가스 안전관리법 시행규칙」제4조제1항제2의2호에 따라 고압가스 제조자는 제조하
는 고압가스의 압력변경이 있을 시에 변경허가를 받거나 변경신고를 하여야 하며 시설의 압력이 
감소할 때 또한 대상에 포함됩니다. (14. 1. 23, 인터넷공개질의)
저장탱크 
기초 재사용"
"2008년 철거된 기존 저장탱크의 내진구조설계자료 및 기술검토서를 보관하고 있을 시 그 
기초패드를 활용하여 새로운 탱크를 설치할 수 있을지","기존 고압가스 저장시설을 폐지하고, 시설 내의 저장탱크에 대하여 저장소설치허가를 받는 
경우로서 기초 부분에 변경, 손상 등이 없다면 기초 및 내진설계에 대하여 기존 고압가스 저장허
가 시의 기술검토 및 관련 검사기록 등의 자료로 갈음할 수 있을 것으로 판단됩니다. 단, 2008년 
당시의 기초를 활용하여 기술검토를 받는 경우라도 해당 저장시설은 기술검토를 받는 시점에서
의 KGS FU111 (고압가스 저장의 시설·기술·검사 기준)을 만족하여야 합니다. (14. 2. 6, 인터넷
공개질의)
소화용가스 
저장능력 
합산기준"
"1. 소화설비용 고압가스를 5톤 이상 저장하는 시설에서 배관을 연결하지 않고 저장소를 나누
어 설치할 때, 격벽을 천장까지 막아야 하는지 아니면 규정된 높이가 있는지
2. 격벽의 재질은 어떤 것을 사용해야 하는지","질의 1에 대하여,
「고압가스 안전관리법」 제4조제3항 및 같은 법 시행령 제3조제2항에 따라 액화가스인 고압가스의 
저장능력이 5톤 이상인 경우에는 저장소 설치허가대상에 해당하나, 배관이 연결되어 있지 않은 소화
설비용 저장탱크 및 용기의 경우에는 「고압가스 안전관리법」 시행규칙 별표 1 제2호에 따라 중심
거리가 30m 이하인 경우 또는 같은 구축물에 설치되어 있는 경우라도 저장능력을 합산하지 않습니
다. 단, 이 경우는 같은 용기보관실이 아닌 별도의 용기보관실에 보관된 경우를 말하며, 별도의 용기
보관실이란 바닥부터 천정까지 벽체로 완전히 구분되고 개별 출입문을 갖는 구조를 말합니다.
질의 2에 대하여,
 KGS FU111 2.3.1에 따라 가연성가스의 가스설비실, 저장설비실, 산소의 충전실과 인화성이나 발
화성 원료의 저장실은 불연재료를 사용하여야 하므로 격벽의 재질은 불연재료여야하나, 비가연성
가스의 경우는 제한하고 있지않습니다.  (14. 2. 10, 인터넷공개질의)
특정설비 
제조자의 
검사설비 
허가종류"
"특정설비제조자가 안전밸브의 분출압력 시험을 위해 공기압축기(25MPa, 152m
3/hr)와 저장탱크(1200m3)를 갖출 경우 이 시설이 일반제조시설인지 저장시설인지","특정설비 
제조자가 안전밸브 성능의 검사를 목적으로 설치하는 고압가스 제조설비는 「고압가스 안전관리법 
시행규칙」별표 12 제1호나목에 따른 검사설비로 인정되어 별도의 제조․충전허가를 필요로 하지 않습니다. 
다만 동 검사설비 중 저장탱크는 저장능력이 500m3이상으로 같은 법 제4조제3항 및 시행규칙 제2조제2항
제2호에 따른 저장소설치허가대상에 해당되며, 같은 법 제16조제3항에 따라 완성검사를 받아 합격한 후에 
사용하여야 합니다. (14. 2. 28, 인터넷공개질의)특정제조ㆍ일반제조ㆍ충전ㆍ저장ㆍ판매ㆍ사용
- 
6 
-
검지경보장치 설치위치"
"암모니아 가스누설검지 경보장치를 설치하고자 하는데, 설치위치 및 수량을 산정할 때 탱크
로리가 정차하고 있는 공간도 포함하는지","KGS FU111 2.8.2.3.1에 의하여 검지경보장치의 검출부는 설비군 또는 설비실의 바닥면 둘
레에 따라 설치개수를 산정하여야 하나 탱크로리는 질의하신 시설에 속하는 설비가 아니므로, 저
장시설에 가스를 공급하기 위해 정차하는 공급자의 탱크로리 실외정차공간을 고려하여 검출부의 
설치개수를 산정하지 않아도 될 것으로 사료됩니다. 다만, 같은 코드 2.8.2.3.2 (3)에 따라 배관 중 
누출된 가스가 체류하기 쉬운 구조인 부분에는 검출부를 설치하여야 하므로 가스의 충전구 또는 
충전구 후단 배관이 위치한 곳이 누출된 가스가 체류하기 쉬운 구조라면 검출부를 설치하여야 합
니다. (14. 5. 27, 인터넷공개질의)
충전허가 
해당범위"
"100bar로 충전된 질소용기에 호스를 연결하여 빈 용기에 옮겨 담아 25bar의 압력으로 만들 
경우 이러한 행위가 고압가스 충전에 해당되는지","「고압가스 안전관리법」시행령 제3조제1항제3호에 따라 고압가스 충전이란 용기 또는 차
량에 고정된 탱크에 고압가스를 충전할 수 있는 설비로 고압가스를 충전하는 것으로서, 고압가스
를 충전하는 행위의 종류를 따로 명시하고 있지 않습니다. 따라서 용기에 충전된 가스가 같은 법 
시행령 제2조에 따른 고압가스에 해당된다면 질의하신 행위 또한 고압가스 충전에 해당됩니다. (14. 6. 14, 인터넷공개질의)
고압가스 수입판매"
배관의 T이음을 배관피팅이 아닌 용접이음으로 할 수 있는지,"「고압가스 안전관리법」제4조제3항에 따라 고압가스 저장허가시설은 같은 법 별표 8 및 
KGS FU111의 기준을 준수하여야 하며, KGS FU111 2.5.1.4에서는 배관이음매의 재료를 KS B 
1541(배관용 강제 맞대기 용접식 관 이음쇠), KS B 1542(배관용 강제 삽입 용접식 관 이음쇠), 
KS B 1543(배관용 강판제 맞대기 용접식 관이음쇠)에 적합한 것 또는 동등 이상의 기계적 성질
을 갖는 것으로 사용하도록 명시하고 있습니다. 또한, KS B 1541~1543의 규격에서는 관이음새의 
기계적 강도가 각 재료의 규격에 따라 일정 수치 이상이 되도록 하며 이를 인장시험․충격시
험․편형시험․형굽힘시험 등으로 측정하도록 하고 있습니다.
 따라서 질의하신 바와 같이 기준에 의해 명시된 규격의 관이음매가 아닌 다른 관이음을 사용하
고자 할 경우에는, 그 이음매가 KS B 1541~1543의 규격에 명시된 수치 이상의 기계적 강도를 갖
는지에 대해 공인된 시험․검사기관에서 규정된 절차를 거쳐 증명되어야 할 것입니다. (14. 8. 28, 
인터넷공개질의)
용기ㆍ압력용기ㆍ저장탱크
- 
9 
-
용기 도색"
혼합가스의 용기 외면의 도색은 어떻게 하여야 하는지,"「고압가스 안전관리법 시행규칙」 
별표24에 따라 2% O2+ 98% N2, 8% O2+ 92% N2, 5% H2+ 95% N2는 그 밖의 가스용기에 그 밖의 
가스로 회색으로 도색을 하여야 하며,  10% H2+ 90% N2는 가연성가스용기에 그 밖의 가스로 
회색으로 도색을 하고 가스명칭 하단에 가로·세로 5㎝ 크기의 백색글자로 용도를 표시하면 될 것입니다. 
참고로, 혼합가스의 가연성 여부는 KS B ISO 10156에 따라 판단할 수 있을 것입니다. (14.7.25 인터넷공개질의)
용기 표시"
에어졸용기가 붉은 색일 경우 용기 기재사항은 어떻게 표시하여야 하는지,"KGS FP211 3.2.2.1.3에 따라 
연소성의 표시는 붉은 글씨로 표시하여야 합니다. 용기 외면의 도색으로 구분이 어려운 경우 연소성 표시를 
하고자 하는 용기 부분을 흰색 바탕으로 하고 그 위에 기재사항을 붉은 글씨로 표시하여 선명하게 보일 수 
있도록 하면 될 것입니다. (14.7.22 인터넷공개질의)
용기 재검사"
"고압가스 용기(공업용 산소, 아세틸렌) 재검사와 관련하여 아래사항을 문의함.
1. 이 용기들이 재검사를 받아야 하는 항목은
2. 사용 중인 용기가 재검사기간이 도래한 경우 재검사를 받아야 하는지","1. 「고압가스 안전관리법」에서의 
고압가스용 용접용기 재검사 기준은 동법 제22조의2에 따라 제정된 KGS AC217(고압가스용 용접용기 재검사 기준)이며, 
고압가스용 이음매없는 용기 재검사 기준은 KGS AC218(고압가스용 이음매없는 용기 재검사 기준)입니다. 
KGS Code는 www.kgscode.or.kr 에서 무료로 열람이 가능하며, 동 코드에서 용기별 검사항목을 확인하실 수 있습니다.
2. 고압가스용기는 「고압가스 안전관리법」 제17조제2항에 따라 최초 검사 후 일정기간이 경과하면 재검사를 받아야 
하며, 재검사를 받아야 하는 용기의 재검사 기간은 같은 법 시행규칙 별표 22와 같습니다. 
다만, 산업통상자원부 유권해석에 따라 고압가스 용기가 사용처에 공급될 시점에서는 재검사기간이 도래하지 아니하였으나, 
사용처 시설에 설치하여 사용 중에 재검사기간이 도래한 경우에는 용기내의 가스를 사용한 이후에 재검사를 받는 것은 
가능합니다. 참고로 “사용중인 용기의 재검사 방법”에 관한 산업통상자원부 유권해석 자료 및 「고압가스 안전관리법 
시행규칙」 별표22를 첨부하오니 확인하시기 바랍니다. (14.4.10 인터넷공개질의)
에어졸 충전"
